protocol_type,service,duration,src_bytes,dst_bytes,logged_in,count,target
udp,domain_u,0,36,0,0,2,normal
tcp,http,0,0,0,0,42,ataque
tcp,pop_3,0,0,0,0,284,ataque
tcp,private,0,0,0,0,110,ataque
tcp,private,0,0,0,0,1,ataque
tcp,http,0,325,4673,1,20,normal
tcp,private,0,0,0,0,133,ataque
tcp,private,0,0,0,0,101,ataque
tcp,iso_tsap,0,0,0,0,285,ataque
tcp,smtp,0,743,335,1,1,normal
tcp,exec,0,0,0,0,147,ataque
tcp,http,0,209,29055,1,3,normal
tcp,telnet,0,0,0,0,78,ataque
tcp,ftp_data,0,567,0,1,1,normal
tcp,http,0,243,929,1,13,normal
udp,domain_u,0,45,45,0,196,normal
udp,domain_u,0,46,85,0,143,normal
tcp,http,0,313,421,1,11,normal
tcp,finger,0,9,141,0,2,normal
tcp,ftp_data,0,35,0,0,2,normal
tcp,http,0,294,545,1,3,normal
udp,domain_u,0,44,125,0,80,normal
icmp,ecr_i,0,1032,0,0,511,ataque
tcp,http,0,233,6084,1,22,normal
tcp,http,0,229,2356,1,3,normal
tcp,http,0,345,566,1,17,normal
tcp,ftp_data,0,334,0,1,1,ataque
tcp,uucp,0,0,0,0,142,ataque
tcp,ftp,20,246,773,1,1,normal
icmp,ecr_i,0,30,0,0,2,normal
tcp,ftp_data,0,854,0,1,1,normal
tcp,private,0,0,0,0,22,ataque
tcp,http,0,148,2893,1,1,normal
udp,other,0,516,4,0,215,normal
tcp,private,0,0,0,0,107,ataque
tcp,imap4,0,0,0,0,164,ataque
tcp,finger,0,0,0,0,227,ataque
tcp,private,0,0,0,0,83,ataque
icmp,eco_i,0,30,0,0,1,normal
tcp,http,0,0,0,0,13,ataque
tcp,uucp_path,0,0,0,0,118,ataque
tcp,http,0,200,354,1,68,normal
udp,domain_u,0,43,75,0,109,normal
tcp,smtp,0,844,326,1,1,normal
tcp,hostnames,0,0,0,0,277,ataque
tcp,pop_3,0,35,130,1,1,normal
tcp,private,0,0,0,0,143,ataque
tcp,private,0,0,0,0,1,ataque
tcp,http,0,201,1315,1,11,normal
tcp,private,0,0,0,0,282,ataque
tcp,ftp_data,0,30,0,1,1,ataque
tcp,ftp_data,0,12,0,1,1,normal
tcp,private,0,0,0,0,103,ataque
tcp,http,0,343,1714,1,13,normal
tcp,smtp,11,1435,337,1,1,normal
tcp,http,0,237,12155,1,5,normal
tcp,private,0,0,0,0,199,ataque
tcp,private,0,0,0,0,292,ataque
tcp,http,0,210,566,1,7,normal
tcp,smtp,1,1069,333,1,1,normal
tcp,klogin,0,0,0,0,103,ataque
